Airbnb_type,City,Price_before_sale,price_after_sale,Rates,Reviews_Num,Host_name,Host_Profession
Room,Tuscolano,"ج.م10,312","ج.م7,147",4.64,14,Daniel,Social technician
Loft,Trevi,"ج.م73,640","ج.م32,551",4.77,163,Federico,Audio
Apartment,Trevi,"ج.م77,592","ج.م63,648",4.8,716,Juan Carlos,Musician
Apartment,Celio,"ج.م166,053","ج.م137,055",5.0,69,Valeria,Freelance
Vacation home,Rome,"ج.م60,379","ج.م36,644",4.88,98,G,Hosting for
Vacation home,Rome,"ج.م82,736","ج.م70,586",4.9,309,Lilith,Secret agent
Room,Tuscolano,"ج.م14,693","ج.م13,536",5.0,192,Royal,Hosting for
Home,Rome,"ج.م32,359","ج.م23,802",4.85,387,Francesco,Hospitality
Hotel,Castro Pretorio,"ج.م31,231","ج.م25,618",4.67,139,Giulia,Employee
Room,Trionfale,"ج.م65,347","ج.م52,160",4.92,26,Elena,Hosting for
Apartment,Portuense,"ج.م35,541","ج.م22,646",5.0,9,Lilith,Secret agent
Apartment,Trevi,"ج.م40,877","ج.م35,654",4.9,597,G,Hosting for
Apartment,Ludovisi,"ج.م32,701","ج.م25,618",4.95,116,Francesco,Hospitality
Room,Don Bosco,"ج.م32,359","ج.م23,802",5.0,4,Isabella,Chef
Apartment,Rome,"ج.م40,877","ج.م35,654",4.96,24,Maria Pia,Hosting for
Apartment,Prati,"ج.م35,316","ج.م23,769",5.0,4,Annie,Researcher
Apartment,della Vittoria,"ج.م50,798","ج.م34,994",4.89,461,Antonio,Inventory specialist
Room,Trionfale,"ج.م27,085","ج.م21,789",4.92,26,Gregorio,Music organization
Apartment,Prati,"ج.م25,087","ج.م22,726",5.0,4,Chiara,Hosting for
Room,Tuscolano,"ج.م18,878","ج.م11,357",4.8,260,Mugiko,Hospitality
Vacation home,Trastevere,"ج.م40,370","ج.م21,789",4.71,182,Sergio,Artist
Apartment,Prati,"ج.م22,498","ج.م20,502",5.0,13,Daniele,Hosting for
Apartment,Aurelio,"ج.م21,856","ج.م15,186",4.79,530,G,Hosting for
Condo,Rome,"ج.م25,851","ج.م23,109",4.95,189,Claudio,Performer
Room,Tuscolano,"ج.م50,798","ج.م34,994",4.79,58,Luigia,Television host
Apartment,Tuscolano,"ج.م47,998","ج.م36,975",5.0,3,Alice,Illustrator
Room,Trieste,"ج.م21,856","ج.م15,186",4.69,689,Lorenzo,Hospitality
